raw_reviews,processed_reviews,robot_related?
"I think this longe has been open no longer than a couple of years....in that time the furniture is broken and tatty (looks like copy stuff from a knock-off factory in China) and the arm is.hanging off this chair I'm typing from. The carpets stained and shabby, lighting not working. ...I also get a sense that the staff are not actually human but possibly robots masquerading as human beings. Just the way they regurgitate their answers to my questions in a detached manner and a false smile is annoying when your tired and don't really...want to be here. Actually I'd say both the Wing and Bridge same comment as I've tried them both tonight. The Bridge also smells like McDonald's. I'm being too kind with two stars maybe.More",I also get a sense that the staff are not actually human but possibly robots masquerading as human beings.,
"Yo soy Mexicano, I love tacos! Tacos here is flavor, so good! I no try other food on menu pero recommendation tacos 100%!,Ordinarily, I wouldn't go to a place like Robo Taco--you have to order your food at a desk, carry a number on a stick to your seat, and then a server will find you.  I prefer to sit down and be served.  Anyhow, I ordered...the huevos rancheros, but they didn't have huevos rancheros sauce.  Jeesh!  So I ordered the giant soft taco.  It was one of the most delicious things I have ever eaten!  I can't stop thinking about it, and I can't wait to go back there and get another one.  The place is small but nice and friendly.More,Portland has a LOT of taco joints, but Robotaco is the most consistently pleasing. I would pick their sauces over anyoneâ__s â__ right balance of spice, salt and flavor â__ the mushroom tacos are outstanding, the nacho chips are yummy fried flour tortilla chips, the...portions are huge, the beans are seriously the best. Plus Bob Ross on the TV (or today: Terror on Dinosaur Island!?! So fun)! I love this place.More,came here at 11:30pm and it was busy. great late night eats. tacos were excellent. had the pork and the fish and both were good.,Small, hole in the wall place to go in this neighborhood for a big plate of rice, beans, and a choice of tacos. Four of us ate and drank for 40.00. Good food at a very good price. Parking can be a challenge if you...arenâ__t willing to pay but street parking is available. We will be back.More,Robo Taco is everything you want in a hole-in-the-wall taco shop. The meats and sides are excellent and the value is solid. I ordered 3 tacos with chorizo, asada, and carnitas. The chorizo and carnitas were great, although the asada was a little chewy. The...rice, beans, and salsa were also really impressive. This is an excellent little lunch spot!More,Funky little with great tacos and open very late. Robo Taco serves up all the standard Tex Mex favourites made fresh with natural meats and tortillas that are handmade daily.
A must do !,Love this place. If you haven't tried it, its worth a trip. Simple street tacos (meat, onion & cilantro) and has a couple veggie options. Funky interior with TVs that often play classic movies or old Bob Ross episodes. I'v tried most of the taco...places in Portland (an obsession of mine) and this is the place I return to often.More,First time I had tacos in Portland while visiting, worth every second. I was told the best tacos around are Robo Taco and they weren't lying. Pretty reasonable prices on tacos, burritos, and beers. Try el pastor, carnitas, and the pollo tacos, you won't be...disappointed.More,Upon landing at Portland airport we stopped for coffee.We asked what restaurants would he recommend.Without hesitation this local said Robo Taco.A funny name but as we discovered great food.The restaurant is a short walk across the sw Morrison bridge and a up and coming industrial...hipster area.We ordered the tacos and a beer.Prices were moderate and well worth the price of the food.
It is a little out of the way but well worth the detour from downtown and the traditional restaurants.You will love this place.More,Loved the asada and caritas tacos!  Sauces are great as is the whole pinto's beans and rice.  Order at the counter and food is brought.  Fresh and tasty, fast and cheap! they offer beer and a few tables outside. Great for a quick bite when...you don't want to spend a lot, it really hit the spot.More,As a non-native, I felt like I might not be in a very safe area of town, and the restaurant was dark, crowded, and seemed dirty.  Our order was not quite right and the food took forever.  But---it was DELICIOUS.  Best nachos I have ever...had.  Worth all the drawbacks to have such great food.More,Quite unremarkable from the outside but super-friendly inside and food to die for at super great value. Robo Taco serves up all the standard Tex Mex favourites made fresh with natural meats and tortillas that are handmade daily. A quirky range of self-service sodas and...a vegan & vegetarian menu, which you'd expect in PDX. You can also have a bevvie in the form of a margarita or Mexican beer. We ate here three times in a four night stay. No-nonsense great grub!More,The place is really tiny but makes some great tacos- and I grew up close to the Mexican border- so I'm a little particular about Mexican food. Order at least 3 for a meal, but that allows you to try different meat combos. I ate...chicken and a friend had the oyster taco- we were both satisfied. You bus your own tables & get your own salsa & water. My office is nearby and staff regularly calls ahead for to go lunches. Consistently yummy.More,This is a small restaurant with great tacos.   I like the chili relleno taco.  This is almost a dive.... but it's hip...  good food, reasonable priced.  Order at the counter...","More,Portland has a LOT of taco joints, but Robotaco is the most consistently pleasing.",
"Out running errands during the holiday season, I was looking something fairly quick for lunch. I've been to this Panera Bread several times through the years and have never been disappointed. So I was happy to stop here again.  Their Broccoli Cheese has always been...a favorite of mine, and this bowl did not disappoint. Paired with an Asian Chicken Salad and a French Baguette, the soup was delicious and filling. The salad was just the right combination of greens, chicken, croutons, and dressing!  The meal certainly hit the spot!! The cashier was friendly; the serving staffer was friendly and even wished me a happy holiday as I picked up my order.More,I said hello and he asked for my order.  I asked him a couple friendly questions and he looked up at me and again asked for my order.  I finally gave up and ordered.  Salad was excellent as well as the sandwich.,Panera Bread is one of my favourite places to eat but they were not on their game this time.  I ordered my usual Turkey Avocado BLT (cold sandwich) and chips and waited 20 MINUTES!  I couldn't believe it.  Will think twice next time on how...badly I want that sandwich.More,I had a bowl of autumn squash soup and it was as good as I remembered. If you are familiar with Panera Bread in other locations, this one feels the same.,My wife and I have a late lunch here once a week. The food is teriffic and the service outstanding. The only drawback is that it is sometimes hard to get a seat during rush hours- that is why we have a ""late lunch."",Its Panera so you know what to expect.  Lots of healthy and flavorful lunch options available.  Also lots of not so health treats here too.,After driving 11 hours my wife and I were looking for a good, fast meal. Panera Bread is usually always a good bet and this one was no exception. Our food was very good and we received it in pretty quick order. By the time...we ordered and paid, it was nearly ready. Good service on their end.More,This is a good location, south of M59 and west of Adams by WalMart.  Place is quiet, has good lite menu items or coffee, depending on the need.  Prices are on par with similar places and walk up service pretty good.,The food is served well, is fresh and tasty and the service very good. Restaurant is clean and menu easy to read and service is good.,If you live in America, then chances are, you've visited a Panera Bread restaurant.  If you haven't yet visited, then you may just have found your new ""go to"" breakfast, lunch, or dinner spot when you are on the road.

Fresh EVERYTHING is really what...it's all about, good coffee and other beverages, great baked goods, made to order sandwiches and salads, hot dishes and my personal favorite, ""you pick two"" - choose a cup of soup and a sandwich, or a sandwich with a salad, the choices are endless, the soups are delicious and they don't disappoint.

Panera Bread is a Bakery and so much more.  This location was staffed with charming staff and our delicious food was ready in minutes to order - eat in or on the go.  Panera Bread really has discovered the recipe for good, fresh food fast.

Try one of their iced seasonal cookies, they are yummy.  Oh and if you need to order online that's super simple too, I did it for an office meeting, everyone got their lunch just the way they ordered it and it was ready for me to collect on time.  I ordered it on Friday for a Monday meeting, so I wouldn't have to worry on a busy Monday.

When we are on the road, we always try to find a Panera Bread, it just sits better when you are travelling.  We love this location, but haven't really found a Panera Bread that wasn't excellent.More", Hi light was the robot which was to collect trays/rubbish,
"This is a lovely underground (literally) pub where all sorts of tasty crafts could be enjoyed. For example the ""Fuvesember"" which is a belgian wheat beer. Please come and spend the most of your money here. They are super friendly and the hospitality level is...top notch! Blessed place.More,Grand Guri Serhaz is a small pub about 450m southeast of Kod_¡ly K_¶r_¶nd offering ten or so craft beers on tap (the selection rotates; the current beers are on a chalkboard above the taps).  I stopped in for supper; the atmosphere was casual, and the...servers were helpful with advice (some English spoken).  I had a large glass of a dark ale (toasted, grainy nose, hints of coffee), which went well with a sandwich and fries. I dined upstairs (there was a flat screen TV showing sports down stairs).  Portions were generous and prices very reasonable.More,This is an excellent place for anyone who loves good quality craft beer. Wide range of selection from lagers, to ipa and stout. In addition very budget friendly prices. It is a bit off the usual tourist track, but it definitely worth the walk,This bar is a hidden gem, of the touristic areas offering wide and ever changing choice of craft beers, IPA-s APA-s but also more simple lagers and fruity beers as well.","Paid the robot as I've been here before and my wife grabbed a Togo box for my sons leftovers from a near by stand. I did enjoy the lunch combo special, since for only $8.00 you get soup or salad, and your entree with fries, so",
"My girlfriend and I visited Choco Facture on a recent holiday to Budapest. We were greeted with a very warm smile and a great explanation of everything that our host made on site. As it was a cold day we decided to each have a...hot chocolate and we were not disappointed. The hot chocolate was thick, creamy and velvety. Absolutely delicious!

We left with a few small chocolates to try later on including one with cayenne pepper, sea salt and caramel, another with mango jelly and some with rum and cherry.

A delightful little chocolate shop well worth a stop by!More,Thank you for your kind words! 
I hope we will meet some time again :),Fantasztikus hely. K_¼l_¶nleges _­zek, isteni k_¡v_©.
Melegs_©g, bar_¡ts_¡goss_¡g.

Fantastic place, Amazing taste, friendly, warmly Service. Nice coffee. â_¤ï¸_â_¤ï¸_â_¤ï¸_ð___ð__»ð___ð__»ð___ð__»,K_¶sz_¶nj_¼k sz_©pen!,I was looking for coffee and stopped by based on a google review of it â__being the best chocolate in Budapest,â__ and indeed it is! The owner was utterly delightful. He recommended the most delicious chocolate, it was so good I had to sit down...to enjoy it. The coffee was equally delicious, the best Iâ__ve tasted after weeks in Budapest and Turkey. A great stop especially if youâ__ve just gone to the Gellert baths.More,Thank you for your review! Hope we meet someday again :),I was looking for some dark chocolate and also if available some sugar-free chocolate to satisfy an urge I acquired while passing the display window. They had all the items I needed and of course I indulged in the sweet special chocolate treat.,Thank you, for your message :) We hope you'll come again soon.,I had an amazing time at the cute chocolate store in Buda! The chocolates are so tasty and special, they have speciality coffee as well. The stuff was also very nice!! I will go back again for sure to try other sweets... ;),We are waiting for you to come back :),The best experience I have ever had. The staff is friendly, the place is stylish, the chocolate is absolutely delicious. I can especially recommend hot chocolate with chilli powder to warm up in the cold winter time. It was fun to learn how chocolate is...made. Definitely worth visiting this cozy little chocofacture :)More,You can taste it anytime :),Small chocolate manufacturing company with excellent service and tastes. I keep coming back as this place has the best hot chocolate in town. Friendly staff, they answer any question you have about the chocolate you actually eat there. I used to buy there handmade chocolate...as presents to friend and family - everyone loved so far.More,Come and drink hot chocolate again :)", A special aspect of the experience is that a robot named Bella brings you your dinner. Modern bright restaurant with outdoor seating and a iRobot that went up and down the aisle bringing food to each table.,
"I love everything about this subway except for the manager, supervisor male that is always there. Mainly because he always puts the least amount of seafodd and meats on the sandwich. Today I came back to work with a  inch sub, I showed it to...my coworkers and they all said they couldnt even see the tuna. When I ask him to more on, he wants to charge me. Which I am not going to pay extra for something that should be there in the first place. Very disappointed with how he handles that. Almost as if he does it on purpose.More",Loved the robotic waiter.,
"we bought products there for breakfast  and were happy with the selection  -  they have healthy options for some products in case you want less carbs  and so on  -  they offer typical Hungarian bakeries,Good products, average prices, nice place. Unfortunately, despite very pretty shop assistants, they looks always pissed off. It's not pleasant to begin a day facing people like that. (otherwise 4 stars).,This is a staple for the locals. Very good baked goods and a lot of selection, don't be surprised if you have to queue in the mornings as everyone seems to pickup a breakfast on the go or sit in. Very informal but a good...source of a quick bite.More", They got rid of some jobs with a robot hostess.,
"I would travel back in time and survive Pol Pot era Cambodia for Paulâ__s doughnuts. Not only are the Pastries divine, but the owner is a genuinely awesome guy who bears a strong resemblance to David Simon. Not enough likes in the universe For this...place.More,I have loved this place since I was in high school back in the 90's. Nothing you choose is bad, but I love the doughnut holes. I have moved away and still come back for their doughnuts. Better than Krispy Kreme. Better than Dunkin Donuts.,Paul's is a staple in Burlington.  Great cakes and donuts.  Can't go wrong there.  I particularly like the chocolate frosted cream filled donut.,This quaint bakery is a quiet and friendly spot.  I stopped in for the first time just to try something new.  I was pleasantly surprised.  In addition to a ""to die for""doughnut, I tried a slice of cake.  I don't care for buttercream icing, but...the cake was moist and tasty!   I will go back again and try a few more goodies.More,The donuts at Paulâ__s Pastryâ__s are indescribably good. I almost hesitate to call them donuts, as theyâ__re so much more.  From the seasonal fruits (peach is my favorite) to the specials available each visit (caramel with cream and toffee!), every donut looks, tastes and feels...individually handcrafted like a desert in a fancy restaurant.  
Every time I go Iâ__m reminded that your mind simply canâ__t remember how good a pastry/donut can be. This sets the bar. 
Itâ__s a few minutes off Elonâ__s campus and so worth the trip..More,Paul's doughnuts are the best in town. Been around for many years and knows what makes good eating. The are fresh, tasty, and delicious.,Paul's doughnuts are delicious. The aroma is sweet and yes, alluring. The dough has a  yeasty flavor that is so tasty without any icing or frosting. They are soft and moist. Really delicious and not too tremendously sweet or over-glazed. These are nearly perfect, large,...fresh, hand-made doughnuts. 

Paul's offers many other delicious pastries as well, from cinnamon rolls to bear claws to cookies. You can get things to go, or sit and enjoy them with coffee. They also offer various custom-stuffed fillings for your doughnuts that you can choose from, even combine if you please - jellies, cremes, frostings. 

The service is friendly and welcoming. And pricesâ_¦.. surprisingly cheap! Take time out to stop by, you will be glad you did. I don't think we've been by when there wasn't a line. Paul's is a very popular place. These doughnuts can be addictive.More,Love Paul's donuts, but saw the cinnamon twists and they maybe better than the donuts! Will definitely be back soon. May have to get a dozen donuts AND some cinnamon twists.,When they are cooking you can smell them all over town. Their donuts just melt in your mouth. All I ever get is their donuts.,One look, one bite will tell you this place is the real deal.  No machines here...just good quality donuts and pastry.  Very nice young lady behind the counter was very patient with a first time guest.  Got a donut for there and one for later....Both were excellent. They had other pastry and lots of cookies too.  A real gem.More,Take the best birthday cake u have ever tasted.  One with the highest quality butter cream icing.  Like at a $10,000 wedding.  Well.............they take that kind of icing and stuff the  donuts with it.  Nuff said!  well I will add this - theres a 50%...off shelf - where you can rack up a good score without having to worry about them being old and going stale.- because you will eat them in the car in the parking lot.  They will never make it home.  All kind of great treats and cookies and cakes.  I want a job there and I am a grown man with a master's degree!More,Paul's is delicious, cheap and fast! Their doughnut is more ""cakey"" compared to Krispy Kreme. I recommend that everyone try a Paul's doughnut because it's truly the best Graham has to offer.,No kidding, Paul's donuts are to die for.  Far better than those offered by the donut chain operations.,Paul's doughnuts are a must!  We have been enjoying Paul's Pastry Shop for years, and we never tire of it.,I called this fine Bakery/Pastry shop on the recommendation of my daughter, who is a Burlington resident, looking for a small birthday cake for our weekend trip to the city to celebrate my husband's 60th Birthday with our family.  Oh, am I ever glad that...I did!!  For a mere $10, I was able to purchase, by phone, a scrumptous 6"" chocolate on chocolate birthday cake which was so delicious that there are no words to describe it's wonderful texture & taste!!  I also ordered some doughnuts and muffins for Sunday morning breakfast and both were simply the best I have ever tasted.  The folks at Paul's were ever so kind and helpful when I called them on Thursday for a Saturday am pick up order and made my purchase by VISA so easy for ordering and pick up.  I have never been so impressed by a bakery!!  I am a lifetime resident of the home of the famous Dewey's Bakery and Krispy Kreme Doughnuts...and neither has anything on Paul's Pastry Shop, believe me!!  I will be using Paul's for every birthday, special occassion, and just as a great place to stop in for donuts, muffins & coffee on all of my trips to visit my daughter and granddaughter in Burlington...And...I shall never make a ""Tanger Run"" without a stop by Paul's for ""goodies"" to bring home!!  Great cakes & pastries and wonderful, friendly service!!  Thanks, Pauls!!More",None,
"I am so TERRIBLY dissatisfied, disappointed and aggravated and yep Iâ__m not exaggerating.

We decided to pass by food court and buy food in KFC. We used the self kiosk (self service ) for efficiency and convenience then we went to the waiting area for...our order. There was one employee who was saying the numbers loudly and giving orders to the customers

We waited patiently UNTIL ITâ__S MORE THAN 30 MINS AND OUR NUMBER WAS SKIPPED :) Take note I am a patient person when it comes with waiting time and I understand how itâ__s hard to work in a fast food service + you can check my reviews here in google and I never reviewed a 1 star until I experienced this sh1t customer service

THE GUY/EMPLOYEE just ignored us after getting our receipt when I followed up because we are already waiting for more than 20 mins and our number is 70 and itâ__s already 94. Then my bf was getting mad because itâ__s now 30mins and he asked for a refund BUT THIS EMPLOYEE WAS RUDE AND BRUSHED IT OFF / IGNORED WHAT HE SAID.

I followed up again and took another 15-20 mins. We FINALLY got our order and we went to the cinema so we really didnâ__t CHECK OUR ORDER until we got seated

BUT GUESS WHAT?? THE ORDER IS INCOMPLETE OR INSHORT, MISSING ITEM. Followed up multiple times, rude employee and STILL MISSING ITEM.

I literally am seated in the cinema atm and am so angered that I immediately wrote this review real time

AND I will edit this after I went back to KFC and get the RUDE EMPLOYEEâ__s NAMEMore,Delicious food. Staff was incredibly helpful and service was very great . Overall we had an great experience.,I never complain about food, sometimes itâ__s cold sometimes the Strips are too small but itâ__s fine not the end of the worldâ_¦ but being treated in a bad way, from some staff, not friendly, not professional in Festival mall is the worst thing ever!...They are so rude and donâ__t have the minimum qualities to deal with people.More,Around 11:45pm, I went to kfc in AL kahel get to order  kfc diner meal and I was have the number 78 but when I meet the supervisor to tell him about my order he toll me to wait and after 20 mnt I toll...him about and he said the order has been cancel and I ask him why it's has been cancel and said only cancel so after discution the manager came and when I want to explain to him, he said to me to chatap.
Thank you for you taking this complete as seriousMore,Staff couldn't care less. Unorganised a lot of people working but not achieving much. Long wait, most orders muddled up. People were asking for straws etc. Hi light was the robot which was to collect trays/rubbish well it wandered around good idea but started dropping...some of the rubbish. Good entertainment. Needed to be emptied a bit more often. Poor customer service.More,unhealthy disgusting and they do not clean the fryer or change the oil. all the chicken is battery farmed and fed junk.ð_¤¢ð_¤¢ð_¤®ð_¤®,Worst ever service never again. I placed an order at 10:30 it never came. 1 am my child slept without eating. Terrible terrible never try unless you want your family to sleep hungry,We walked into KFC Circle mall at 11pm and were told that the fries were not available. No other option was given except coleslaw irregardless of my lactos intolerance. The staff Regyn and Rachel the supervisor were unhelpful and started talking in a different language...than English infront of us. This is disappointing as we are loyal customers since our home country :-(More,The guy name kumar is really rude really rude and he's not professional and the chicken is really cold,the service leaves something to be desired, they don't drink without sugar, they threw me 2 plastic glasses and a bottle of pepsi.
bad experience,Teribble service,  the service was very bad even the kfc strips was very salty, . When we complain about that the staff told us that it is always very salty . Which was not informed us in the beginning and when we complain they start...arguing with us. Not expected with the kfc like this. The kfc in jlt is really disasters. They ruined our Christmas party ð__¬ð__¬More,We went to KFC at lower ground level in Dubai Mall, service is terribly slow and disappointing, our food  was too cold and the spicy chicken was not spicy. In addition to that, it is so sad that the asians working in KFC are being...racist just because iam also an asian.More,The restaurant was open, people queueing up to order (some just walked out again) and the patrons were happily bring ignored by the staff counting money and getting their day started. 
10 min wait to order, another 15 minutes for food delivery. People on a...lunch break would have to eat while running ð___â__â__ï¸_ back to the office. 
Off course the food is KFC quality but look at the reviews and decide if you should not rather go somewhere else!More,The order was messed up. I called to complain. They were rude on telephone. This KFC should fire manager.,Worst service from kfc online.My order had fries missing yet the food comes with fries, the staff very poor there isn't any customers service even if your regular client. Your order chances online and comes different the guys delivering can't even communicate properly in English...just wonder who hires them. Rather buy direct money just Flys away and you can't even contact them. KFC IS THE WORST ONLINE ORDRING BEWARE.More",Someone told us about this robot and we wanted to check it out.,
"Came in with the family for dinner. Waited 15 mins to be sat which was no problem. I assumed they were short staffed due to plenty of available tables. The food was good, just took surprisingly long for chicken tenders and margarita chicken. Our server wasn't really there and didn't really check in with us at all....Paid the robot as I've been here before and my wife grabbed a Togo box for my sons leftovers from a near by stand. We don't go here too much but may stick with other restaurants near by.More,Why the restaurants think this will help their bottom line, I don't know. I for one had to ask my waitress Jill a zillion questions and then she ended up doing most of the work, thank God she had patience with this old lady!!! I...know I am old fashioned, but I still like to be waited on exclusively by PEOPLE, who take care of my order, and the payment as well. I did enjoy the lunch combo special, since for only $8.00 you get soup or salad, and your entree with fries, so that was indeed a good deal, but does NOT take away from the robotic atmosphere, I probably will NOT be returning here.More", It even have a robot that serves your food sometimes.,
